,name,site_url,country,bias,factual,press_freedom,media_type,popularity,MBFC_credibility,image_url,page_url,biaser
1626,The Hill,https://thehill.com/,Usa,Center,Mostly factual,N/A,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/the-hill/,mediabiasfactcheck.com
1627,The Jamestown Foundation,https://jamestown.org/,N/A,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-jamestown-foundation/,mediabiasfactcheck.com
1628,The Jefferson Star,https://www.postregister.com/star/,Usa,Center,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/the-jefferson-star-bias/,mediabiasfactcheck.com
1629,The Jordan Times,http://www.jordantimes.com/,Jordan,Center,Mixed,N/A,Newspaper,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/the-jordan-times/,mediabiasfactcheck.com
1630,Journal Standard,https://www.journalstandard.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased061.png,https://mediabiasfactcheck.com/journal-standard/,mediabiasfactcheck.com
1631,The Macon Telegraph,https://www.macon.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-macon-telegraph/,mediabiasfactcheck.com
1632,The Marietta Times,https://www.mariettatimes.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/the-marietta-times/,mediabiasfactcheck.com
1633,The Marshall Project,https://www.themarshallproject.org,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-marshall-project/,mediabiasfactcheck.com
1634,The Meme Policeman,http://memepoliceman.com/,Usa,Center,Mostly factual,N/A,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/the-meme-policeman/,mediabiasfactcheck.com
1635,The Modesto Bee,https://www.modbee.com/,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-modesto-bee/,mediabiasfactcheck.com
1636,The Monitor (Texas),https://www.themonitor.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/the-monitor-texas/,mediabiasfactcheck.com
1637,The Morning Call,https://www.mcall.com/,Usa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-morning-call/,mediabiasfactcheck.com
1638,The Morning News,https://scnow.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-morning-news-bias/,mediabiasfactcheck.com
1639,The Nevada Independent,https://thenevadaindependent.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/the-nevada-independent/,mediabiasfactcheck.com
1640,The News (Mexico City),https://www.thenews.mx/,Mexico,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-news-mexico-city/,mediabiasfactcheck.com
1641,The News Literacy Project,https://newslit.org/,Usa,Center,High,N/A,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/news-literacy-project/,mediabiasfactcheck.com
1642,The News Virginian,https://newsvirginian.com/,Usa,Center,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-news-virginian-bias/,mediabiasfactcheck.com
1643,The Outlook (Monmouth University),http://outlook.monmouth.edu/,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/the-outlook-monmouth-university/,mediabiasfactcheck.com
1644,The Post and Courier,https://www.postandcourier.com/,Usa,Center,High,N/A,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/the-post-and-courier/,mediabiasfactcheck.com
1645,The Post Star,https://poststar.com/,Usa,Center,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-post-star/,mediabiasfactcheck.com
1646,The Post-Standard (Syracuse),https://www.syracuse.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/the-post-standard-syracuse/,mediabiasfactcheck.com
1647,The Record (Stockton),https://www.recordnet.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/the-record-stockton/,mediabiasfactcheck.com
1648,The Register UK,https://www.theregister.com/,United kingdom,Center,High,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-register-uk/,mediabiasfactcheck.com
1649,The Republic (Indiana),http://www.therepublic.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-republic-indiana/,mediabiasfactcheck.com
1650,The Republican (Masslive.com),https://www.masslive.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/republican-masslive-springfield-bias-rating/,mediabiasfactcheck.com
1651,The Salinas Californian,https://www.thecalifornian.com/,Usa,Left-center,High,N/A,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/the-salinas-californian-bias/,mediabiasfactcheck.com
1652,The Scotsman,https://www.scotsman.com/,United kingdom,Center,High,N/A,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-scotsman/,mediabiasfactcheck.com
1653,The Sentinel (Pennsylvania),https://cumberlink.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-sentinel-pennsylvania/,mediabiasfactcheck.com
1654,The Smoking Gun,http://www.thesmokinggun.com/,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-smoking-gun/,mediabiasfactcheck.com
1655,The Sociable,https://sociable.co/,Ireland,Center,High,N/A,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/the-sociable/,mediabiasfactcheck.com
1656,The Southern Illinoisan,https://thesouthern.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-southern-illinoisan/,mediabiasfactcheck.com
1657,The Star Democrat,http://www.stardem.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/the-star-democrat/,mediabiasfactcheck.com
1658,The Strategy Bridge,https://thestrategybridge.org,Usa,Center,High,Mostly free,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/the-strategy-bridge/,mediabiasfactcheck.com
1659,The Tennessean,https://www.tennessean.com/,Usa,Center,High,N/A,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased011.png,https://mediabiasfactcheck.com/the-tennessean/,mediabiasfactcheck.com
1660,The Times (Illinois),http://www.mywebtimes.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased061.png,https://mediabiasfactcheck.com/the-times-illinois/,mediabiasfactcheck.com
1661,The Times and Democrat,http://thetandd.com,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-times-and-democrat/,mediabiasfactcheck.com
1662,The Town Talk,https://www.thetowntalk.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased061.png,https://mediabiasfactcheck.com/the-town-talk/,mediabiasfactcheck.com
1663,The Union (Nevada County),https://www.theunion.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/the-union-nevada-county-bias/,mediabiasfactcheck.com
1664,The Vindicator,https://www.vindy.com/,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/the-vindicator/,mediabiasfactcheck.com
1665,The Waterloo-Cedar Falls Courier,https://wcfcourier.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/the-waterloo-cedar-falls-courier/,mediabiasfactcheck.com
1666,The Wildwood Independent,https://www.theunion.com/news/twi,Usa,Center,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/the-wildwood-independent-bias/,mediabiasfactcheck.com
1667,ZDF (Zweites Deutsches Fernsehen),https://www.zdf.de/,Germany,Center,High,N/A,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased011.png,https://mediabiasfactcheck.com/zdf-zweites-deutsches-fernsehen/,mediabiasfactcheck.com
1668,Third Way,https://www.thirdway.org/,Usa,Center,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased091.png,https://mediabiasfactcheck.com/third-way/,mediabiasfactcheck.com
1669,ThoughtCo,https://www.thoughtco.com,Usa,Center,Very high,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/thoughtco/,mediabiasfactcheck.com
1670,Times of San Diego,https://timesofsandiego.com/,Usa,Center,High,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/times-san-diego/,mediabiasfactcheck.com
1671,Times-News (Idaho),http://magicvalley.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/times-news-idaho/,mediabiasfactcheck.com
1672,Today I Found Out,http://www.todayifoundout.com/,Usa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/today-i-found-out/,mediabiasfactcheck.com
1673,Transparency International,https://www.transparency.org/,Germany,Center,Very high,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/transparency-international/,mediabiasfactcheck.com
1674,Transpartisan Review,http://www.transpartisanreview.com/,Usa,Center,Mostly factual,N/A,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/transpartisan-review/,mediabiasfactcheck.com
1675,Traverse City Record-Eagle,https://www.record-eagle.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased011.png,https://mediabiasfactcheck.com/traverse-city-record-eagle/,mediabiasfactcheck.com
1676,Tribune Content Agency,https://tribunecontentagency.com/tribune-news-service/,Usa,Center,High,N/A,News agency,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/tribune-news-service/,mediabiasfactcheck.com
1677,Tri-City Herald,https://www.tri-cityherald.com/,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/tri-city-herald/,mediabiasfactcheck.com
1678,TruthOrFiction.com,https://www.truthorfiction.com/,Usa,Center,Very high,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/truthorfiction-com/,mediabiasfactcheck.com
1679,Tut.by,https://www.tut.by/,Belarus,Center,Mostly factual,Mostly free,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/tut-by/,mediabiasfactcheck.com
1680,TVW Washington State,https://www.tvw.org/,Usa,Center,Very high,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/tvw-washington-state/,mediabiasfactcheck.com
1681,Twiner-Herald,https://loganwoodbine.com/,Usa,Center,High,N/A,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/twiner-herald-bias/,mediabiasfactcheck.com
1682,United Press International (UPI),https://www.upi.com,Usa,Center,High,N/A,News agency,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased091.png,https://mediabiasfactcheck.com/united-press-international-upi/,mediabiasfactcheck.com
1683,United States House of Representatives (House.gov),https://www.house.gov/,Usa,Center,Very high,N/A,Organization/government,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/united-states-house-representatives-house-gov/,mediabiasfactcheck.com
1684,United States Courts (uscourts.gov),https://www.uscourts.gov/,Usa,Center,High,Mostly free,Organization/foundation,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/united-states-courts-uscourts-gov-bias/,mediabiasfactcheck.com
1685,USA Spending,https://www.usaspending.gov/,Usa,Center,Very high,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/usa-spending/,mediabiasfactcheck.com
1686,USA Facts,https://usafacts.org/,Usa,Center,Very high,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/usa-facts/,mediabiasfactcheck.com
1687,Utah Standard-Examiner,https://www.standard.net/,Usa,Right-center,High,N/A,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter081.png,https://mediabiasfactcheck.com/utah-standard-examiner/,mediabiasfactcheck.com
1688,Vail Daily,https://www.vaildaily.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/vail-daily-bias/,mediabiasfactcheck.com
1689,Venice Gondolier Sun,https://www.yoursun.com/venice/,Usa,Center,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/venice-gondolier-sun-bias/,mediabiasfactcheck.com
1690,VERIFY Fact Check,https://www.verifythis.com/,Usa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/verify-fact-check-bias/,mediabiasfactcheck.com
1691,Viral Thread,http://www.viralthread.com/,United kingdom,Center,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/viral-thread/,mediabiasfactcheck.com
1692,Voice of America,https://www.voanews.com,Usa,Center,High,N/A,Radio station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/voice-of-america/,mediabiasfactcheck.com
1693,Vos Iz Neias,https://www.vosizneias.com,Usa,Center,Mixed,Mostly free,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/vos-iz-neias/,mediabiasfactcheck.com
1694,Vote Smart,https://justfacts.votesmart.org/,Usa,Center,High,N/A,Organization/foundation,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/votesmart/,mediabiasfactcheck.com
1695,WAAY – Huntsville News,https://www.waaytv.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/waay-huntsville-news-bias/,mediabiasfactcheck.com
1696,WABG – DeltaNews,https://www.deltanews.tv/,Usa,Center,High,Mostly free,Tv station,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wabg-deltanews-bias/,mediabiasfactcheck.com
1697,WABI – Bangor News,https://www.wabi.tv/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wabi-bangor-news-bias/,mediabiasfactcheck.com
1698,Waco Tribune-Herald,https://www.wacotrib.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/waco-tribune-herald-bias-credibility-rating/,mediabiasfactcheck.com
1699,WAFB – Baton Rouge,https://www.wafb.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wafb-baton-rouge/,mediabiasfactcheck.com
1700,WAFF – Huntsville,https://www.waff.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/waff-huntsville/,mediabiasfactcheck.com
1701,WAGM – Maine News,https://www.wagmtv.com/,Usa,Center,High,Mostly free,Tv station,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wagm-maine-news-bias/,mediabiasfactcheck.com
1702,Wahoo Newspaper,https://wahoo-ashland-waverly.com/,Usa,Center,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/wahoo-newspaper-bias/,mediabiasfactcheck.com
1703,WALA – Mobile News,https://www.fox10tv.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wala-mobile-news-bias/,mediabiasfactcheck.com
1704,WALB – Albany GA,https://www.walb.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/walb-albany-ga-bias/,mediabiasfactcheck.com
1705,WANE – Fort Wayne News,https://www.wane.com/,Usa,Center,High,N/A,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wane-fort-wayne-news-bias/,mediabiasfactcheck.com
1706,WAPT – Jackson News,https://www.wapt.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/wapt-jackson-news-bias/,mediabiasfactcheck.com
1707,War on the Rocks,https://warontherocks.com/,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased011.png,https://mediabiasfactcheck.com/war-on-the-rocks/,mediabiasfactcheck.com
1708,Washington Journal,https://www.c-span.org/series/?washingtonJournal,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/washington-journal/,mediabiasfactcheck.com
1709,Washington’s Top News (WTOP),https://wtop.com,Usa,Center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/washingtons-top-news-wtop/,mediabiasfactcheck.com
1710,WATE – Knoxville News,https://www.wate.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wate-knoxville-news-bias/,mediabiasfactcheck.com
1711,WATN – Memphis News,https://www.localmemphis.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/watn-memphis-news-bias/,mediabiasfactcheck.com
1712,WAVE – Louisville News,https://www.wave3.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wave-louisville-news-bias/,mediabiasfactcheck.com
1713,WAVY – Norfolk News,https://www.wavy.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wavy-norfolk-news/,mediabiasfactcheck.com
1714,WBAL – Baltimore News,https://www.wbaltv.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased021.png,https://mediabiasfactcheck.com/wbal-baltimore-news-bias/,mediabiasfactcheck.com
1715,WBAY Action 2 News,https://www.wbay.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wbay-action-2-news/,mediabiasfactcheck.com
1716,WBIR – Knoxville News,https://www.wbir.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wbir-knoxville-news-bias/,mediabiasfactcheck.com
1717,WBKO – Bowling Green,https://www.wbko.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wbko-bowling-green/,mediabiasfactcheck.com
1718,WBNG – Binghamton,https://wbng.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wbng-binghamton/,mediabiasfactcheck.com
1719,WBNS-TV (10tv.com),https://www.10tv.com/,Usa,Center,High,Mostly free,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wbns-tv-10tv-com/,mediabiasfactcheck.com
1720,WBRC – Birmingham,https://www.wbrc.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wbrc-birmingham-bias/,mediabiasfactcheck.com
1721,WBRE/WYOU Eyewitness News,https://www.pahomepage.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wbre-wyou-eyewitness-news-bias/,mediabiasfactcheck.com
1722,WBTV – Charlotte News,https://www.wbtv.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wbtv/,mediabiasfactcheck.com
1723,WBTW – Myrtle Beach News,https://www.wbtw.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wbtw-myrtle-beach-news-bias/,mediabiasfactcheck.com
1724,WCAX – Burlington News,https://www.wcax.com/,Usa,Center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wcax3/,mediabiasfactcheck.com
1725,WCBD – Charleston News,https://www.counton2.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wcbd-charleston-news-bias/,mediabiasfactcheck.com
1726,WCIA – Central Illinois News,https://www.wcia.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/wcia-central-illinois-news-bias/,mediabiasfactcheck.com
1727,WCJB – Gainesville,https://www.wcjb.com/,Usa,Center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/wcjb-gainesville-bias/,mediabiasfactcheck.com
